"","DATESTAMP","COLOR","HHID","UNIQUE_HHID","HAVEPHONE","SPOUSEMOBILE","NUMOTHERPHONES","PRIMARYCOOK","AGE","FUEL","KNOWLUNCH","LUNCHYESTERDAY","WOODLASTWEEK","WOODLASTMONTH","GATHERWOODWEEK","GATHERLASTMONTH","VEHICLE","STOVES","DECISIONS","NOTES","DATESURVEY","PARISH","DATE","GROUP","MAXBID","MAXBIDNOVEL","SALE_DATE","SERIALNUMBER","PAID_PRICE","GENDER","STATUS","INCOME","HOWPAID","MAINEMPLOYER","TIMEEMPLOYED","HAVEPHONE1","SPOUSEMOBILE1","COWS","HOWMANYCOWS","VEHICLE1","TV","RADIO","FUEL1","WOODLASTWEEK1","WOODLASTMONTH1","GATHERWOODWEEK1","GATHERLASTMONTH1","STOVES1","PRIMARYCOOK1","PRIMARYCOOK2","DECISIONS1","DECISIONS2","TYPICALNUMEATING","WINNING_AMOUNT","WIN_TRADITIONAL_OFFER","WIN_NOVEL_OFFER","DEPOSIT_ON_SALES_DAY","PAID_IN_FULL","BALANCE_DUE_AFTER_SALES_MEETING","TOTAL_COLLECTED","RETURNED","DEFAULT","PAYMENT_COMPLETE","AMOUNT_REFUNDED","NOTES_WINNERS","DATE_SALE","FORECASTED_COLLECTION","ACTUAL_COLLECTION","FEMALE","HAVEPHONE2","VEHICLE_DISCRETE","BICYCLE_DUMMY","CAR_DUMMY","MOTORCYCLE_DUMMY","RADIO_DUMMY","BUYWOOD_DUMMY","GATHERWOOD_DUMMY","RESPONDENT_PRIMARY_COOK","HH_PHONES","WOOD","MARRIED1","MARRIED","TIME_EMPLOYED","WIFECOOK","JOINTDECISION","TSF_PRIMARY","SELFEMPLOYED","KNOWLUNCH_Dummy","TYPICALNUMEATING_Dummy","CASHPAID_Dummy","INCOME_Dummy","COWS_Dummy","TV_Dummy","ASSET_TOTAL","No_message","Improves_Health","Time_Money_Health","Time_Money","Female_AGE","Female_MARRIED","Female_WIFECOOK","Female_JOINTDECISION","Female_KNOWLUNCH_Dummy","Female_LUNCHYESTERDAY","Female_HH_PHONES","Female_INCOME_Dummy","Female_MOTORCYCLE_DUMMY","Female_CAR_DUMMY","Female_RADIO_DUMMY","Female_COWS_Dummy","Female_TV_Dummy","Female_WOOD","Female_TSF_PRIMARY","Female_BUYWOOD_DUMMY","Female_GATHERWOOD_DUMMY","Female_TotalAsset"
"11","2002-08-12 15:04","White","I",21,"Yes","Yes but I don`t know the phone number",NA,"Respondent",39,"Wood","Yes",3,"No","No","Yes","Yes","Bicycle","Built-in Mud Stove","Respondent & Spouse Jointly","Ok","08-Feb-12","Bujaga","2002-08-12","No Message",11.9284294234592,5.96421471172962,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash and in-kind","Self-employed","All year","Participant owns phone","Spouse owns phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","Built-in Mud Stove","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"0",1,1,1,0,874.48,1,0,0,0,39,1,1,1,1,3,1,1,0,0,1,1,0,1,0,0,1,874.48
"13","2002-08-12 15:46","Orange","U",49,"No","Yes but I don`t know the phone number",NA,"Respondent",60,"Wood","Yes",6,"No","No","Yes","Yes","Bicycle","None","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Saves Time and Money",3.97614314115308,7.95228628230616,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","Seasonal","Participant does not own phone","Spouse owns phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had more than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Bicycle",1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,"0",1,1,1,0,840.22,0,0,0,1,60,1,1,1,1,6,0,1,0,0,1,1,0,1,1,0,1,840.22
"14","2002-08-12 14:54","White","O",35,"No","No",NA,"Respondent",51,"Wood","Yes",2,"No","No","Yes","Yes","None","Built-in Mud Stove","Respondent & Spouse Jointly","Ok","08-Feb-12","Bujaga","2002-08-12","No Message",1.98807157057654,3.97614314115308,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash and in-kind","Self-employed","All year","Participant does not own phone","Spouse does not own phone","No",NA,"None","No","No","Wood","No","No","Yes","Yes","Built-in Mud Stove","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"None",0,0,0,0,0,1,1,2,1,1,1,1,1,1,0,1,1,"0",1,1,0,0,0,1,0,0,0,51,1,1,1,1,2,2,1,0,0,0,0,0,1,0,0,1,0
"15","2002-08-12 15:12","Pink","E",13,"Yes","Yes I can enter the phone number",NA,"Respondent",40,"Wood","Yes",1,"No","No","Yes","Yes","Bicycle","Charcoal Stove","Respondent & Spouse Jointly","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",15.9045725646123,15.9045725646123,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","All year","Participant owns phone","Spouse owns phone","Yes","0-5 cows","Bicycle","Yes","Yes","Wood","No","No","Yes","Yes","Charcoal Stove","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"0",1,1,1,1,1008.75,0,0,1,0,40,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1008.75
"16","2002-08-12 14:32","Yellow","G",17,"No","No",NA,"Respondent",45,"Wood","Yes",2,"No","No","Yes","Yes","None","None","Respondent","none","08-Feb-12","Bujaga","2002-08-12","Improves Health",7.95228628230616,7.95228628230616,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash and in-kind","Family member","All year","Participant does not own phone","Spouse does not own phone","No",NA,"None","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Respondent","Wife","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"None",0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,"0",1,1,0,0,13.83,0,1,0,0,45,1,1,0,1,2,0,1,0,0,1,0,0,1,1,0,1,13.83
"17","2002-08-12 16:24","White","F",16,"No",NA,NA,"Other",14,"Wood","Yes",4,"No","No","Yes","Yes","None","None","Father or Mother","Ok","08-Feb-12","Bujaga","2002-08-12","No Message",5.96421471172962,7.95228628230616,NA,NA,NA,"Female","Single (never married)","No",NA,NA,NA,"Participant does not own phone",NA,"No",NA,"None","No","Yes","Wood","No","No","Yes","Yes","None","Other","Other","Father or Mother","Father or Mother","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"None",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,"1",NA,0,0,0,13.83,1,0,0,0,14,0,0,0,1,4,0,0,0,0,1,0,0,1,1,0,1,13.83
"18","2002-08-12 15:24","Yellow","K",25,"No","No",NA,"Respondent",37,"Wood","Yes",2,"Yes","No","Yes","Yes","None","None","Spouse","none","08-Feb-12","Bujaga","2002-08-12","Improves Health",15.9045725646123,15.9045725646123,NA,NA,NA,"Female","Married (monogamous)","No",NA,NA,NA,"Participant does not own phone","Spouse does not own phone","No",NA,"None","No","Yes","Wood","Yes","No","Yes","Yes","None","Respondent","Wife","Spouse","Husband","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"None",0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,"1",NA,0,0,0,13.83,0,1,0,0,37,1,1,0,1,2,0,0,0,0,1,0,0,1,1,1,1,13.83
"20","2002-08-12 16:42","White","M",28,"Yes","No",NA,"Spouse",70,"Wood","Yes",4,"No","No","Yes","Yes","None","Charcoal Stove","Respondent & Spouse Jointly","Interesting","08-Feb-12","Bujaga","2002-08-12","No Message",3.18091451292247,3.18091451292247,NA,NA,NA,"Male","Married (monogamous)","Yes","Cash and in-kind","Self-employed","All year","Participant owns phone","Spouse does not own phone","Yes","0-5 cows","None","No","Yes","Wood","No","No","Yes","Yes","Charcoal Stove","Spouse","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"None",0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,"0",1,1,1,0,804.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2002-08-12 15:26","Orange","D",8,"Yes","Yes I can enter the phone number",NA,"Spouse",34,"Wood","Yes",5,"No","No","Yes","Yes","Bicycle","None","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Saves Time and Money",NA,7.95228628230616,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","Seasonal","Participant owns phone","Spouse owns phone","No",NA,"Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Spouse","Husband","Respondent & Spouse Jointly","Wife & Husband Jointly","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,"1",1,1,0,0,117.79,0,0,0,1,34,1,0,1,1,5,1,1,0,0,1,0,0,1,1,0,1,117.79
"22","2002-08-12 16:36","Yellow","J",23,"Yes",NA,NA,"Respondent",42,"Wood","Yes",5,"Yes","Yes","No","No","None","Built-in Mud Stove","Respondent","none","08-Feb-12","Bujaga","2002-08-12","Improves Health",21.8687872763419,21.8687872763419,NA,NA,NA,"Female","Widow or Widower","Yes","Cash and in-kind","Self-employed","All year","Participant owns phone",NA,"Yes","0-5 cows","None","No","Yes","Wood","Yes","Yes","No","No","Built-in Mud Stove","Respondent","Wife","Respondent","Wife","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"None",0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,"0",1,1,1,0,804.78,0,1,0,0,42,0,1,0,1,5,1,1,0,0,1,1,0,1,0,1,0,804.78
"24","2002-08-12 16:40","Pink","B",5,"No","Yes I can enter the phone number",NA,"Respondent",35,"Wood","Yes",4,"No","Yes","Yes","Yes","Bicycle|Motorcycle","Charcoal Stove","Respondent","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",3.97614314115308,11.9284294234592,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","All year","Participant does not own phone","Spouse owns phone","Yes","0-5 cows","Motorcycle","No","Yes","Wood","No","Yes","Yes","Yes","Charcoal Stove","Respondent","Wife","Respondent","Wife","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Bicycle|Motorcycle",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"0",1,1,1,0,1623.92,0,0,1,0,35,1,1,0,1,4,1,1,1,0,1,1,0,1,0,1,1,1623.92
"26","2002-08-12 14:05","Pink","U",50,"Yes","Yes but I don`t know the phone number",NA,"Respondent",28,"Wood","Yes",3,"Yes","Yes","Yes","Yes","Bicycle","None","Respondent","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",7.95228628230616,9.9403578528827,NA,NA,NA,"Male","Married (monogamous)","Yes","Cash only","Self-employed","All year","Participant owns phone","Spouse owns phone","No",NA,"Bicycle","No","Yes","Wood","Yes","Yes","Yes","Yes","None","Respondent","Husband","Respondent","Husband","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Bicycle",1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,"1",1,1,0,0,117.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2002-08-12 13:44","White","U",51,"Yes","No",NA,"Respondent",33,"Wood","Yes",8,"Yes","Yes","Yes","Yes","Bicycle","Built-in Mud Stove","Respondent & Spouse Jointly","Ok","08-Feb-12","Bujaga","2002-08-12","No Message",3.97614314115308,9.9403578528827,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash and in-kind","Self-employed","All year","Participant owns phone","Spouse does not own phone","No",NA,"Bicycle","No","Yes","Wood","Yes","Yes","Yes","Yes","Built-in Mud Stove","Respondent","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"1",1,1,0,0,117.79,1,0,0,0,33,1,1,1,1,8,1,1,0,0,1,0,0,1,0,1,1,117.79
"28","2002-08-12 15:38","Pink","R",44,"Yesnonumber","Yes but I don`t know the phone number",NA,"Respondent",39,"Wood","Yes",4,"No","No","Yes","Yes","Bicycle","None","Spouse","no","08-Feb-12","Bujaga","2002-08-12","Time, Money and Health",1.98807157057654,1.98807157057654,NA,NA,NA,"Female","Married (monogamous)","Yes","Cash only","Self-employed","All year","Participant owns phone","Spouse owns phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","None","Respondent","Wife","Spouse","Husband","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Bicycle",1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,"0",1,1,1,0,874.48,0,0,1,0,39,1,1,0,1,4,1,1,0,0,1,1,0,1,1,0,1,874.48
"29","2002-08-12 14:14","White","P",39,"Yes","No",NA,"Spouse",47,"Wood","Yes",5,"No","No","Yes","Yes","Bicycle","Built-in Mud Stove","Respondent & Spouse Jointly","Good","08-Feb-12","Bujaga","2002-08-12","No Message",3.97614314115308,3.97614314115308,NA,NA,NA,"Male","Married (monogamous)","Yes","Cash and in-kind","Self-employed","All year","Participant owns phone","Spouse does not own phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","Built-in Mud Stove","Spouse","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Bicycle",1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,"0",1,1,1,0,874.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2002-08-12 15:01","Orange","X",57,"Yes","Yes I can enter the phone number",NA,"Spouse",50,"Wood","No",NA,"No","No","Yes","Yes","Bicycle","Charcoal Stove","Respondent & Spouse Jointly","none","08-Feb-12","Bujaga","2002-08-12","Saves Time and Money",5.96421471172962,7.95228628230616,NA,NA,NA,"Male","Married (monogamous)","Yes","Cash only","Self-employed","All year","Participant owns phone","Spouse owns phone","Yes","0-5 cows","Bicycle","No","Yes","Wood","No","No","Yes","Yes","Charcoal Stove","Spouse","Wife","Respondent & Spouse Jointly","Wife & Husband Jointly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Bicycle",1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,NA,1,1,1,0,874.48,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"31","2002-08-12 15:29","White","X",58,"No",NA,NA,"Children",87,"Wood","Yes",4,"No","No","Yes","Yes","None","None","Respondent","She was glad","08-Feb-12","Bujaga","2002-08-12","No Message",7.95228628230616,39.7614314115308,NA,NA,NA,"Female","Widow or Widower","Yes","Cash and in-kind","Self-employed","All year","Participant does not own phone",NA,"No",NA,"None","No","No","Wood","No","No","Yes","Yes","None","Children","Children","Respondent","Wife","No we had less than usual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"None",0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,"0",1,1,0,0,0,1,0,0,0,87,0,0,0,1,4,0,1,0,0,0,0,0,1,1,0,1,0
